"Time","receive - all-in-one","transmit - all-in-one"
2023-05-28 09:42:30,14181,-23550
2023-05-28 09:43:00,294253,-304527
2023-05-28 09:43:30,6629995,-8803391
2023-05-28 09:44:00,13594833,-17321665
2023-05-28 09:44:30,13818524,-17502376
2023-05-28 09:45:00,10502181,-14142480
2023-05-28 09:45:30,13632733,-17292241
2023-05-28 09:46:00,12570883,-16144916
2023-05-28 09:46:30,12334437,-15879775
2023-05-28 09:47:00,13002936,-16454997
2023-05-28 09:47:30,12949398,-16308109
2023-05-28 09:48:00,11808631,-15420925
2023-05-28 09:48:30,11695886,-14999683
2023-05-28 09:49:00,9654433,-12392819
2023-05-28 09:49:30,9043976,-11685444
2023-05-28 09:50:00,9522951,-11544823
2023-05-28 09:50:30,9717088,-12337539
2023-05-28 09:51:00,9616126,-12194809
2023-05-28 09:51:30,9985330,-12674723
2023-05-28 09:52:00,9007823,-11734385
2023-05-28 09:52:30,8367642,-10745296

