"Time","by-stack"
2024-01-23 04:53:30,16527360
2024-01-23 04:54:00,16781312
2024-01-23 04:54:30,39526400
2024-01-23 04:55:00,51867648
2024-01-23 04:55:30,62832640
2024-01-23 04:56:00,89698304
2024-01-23 04:56:30,95444992
2024-01-23 04:57:00,135471104
2024-01-23 04:57:30,144359424
2024-01-23 04:58:00,188002304
2024-01-23 04:58:30,213250048
2024-01-23 04:59:00,226897920
2024-01-23 04:59:30,251846656
2024-01-23 05:00:00,263467008
2024-01-23 05:00:30,266915840
2024-01-23 05:01:00,291598336
2024-01-23 05:01:30,305573888
2024-01-23 05:02:00,328134656
2024-01-23 05:02:30,333271040
2024-01-23 05:03:00,340692992
2024-01-23 05:03:30,356986880
