"Time","receive - by-stack","transmit - by-stack"
2024-01-23 04:53:30,551267,-812296
2024-01-23 04:54:00,7811638,-9659401
2024-01-23 04:54:30,13477695,-15986182
2024-01-23 04:55:00,13258506,-15811417
2024-01-23 04:55:30,21010425,-24914262
2024-01-23 04:56:00,25670022,-30881683
2024-01-23 04:56:30,21739985,-25875326
2024-01-23 04:57:00,15244101,-18281865
2024-01-23 04:57:30,17036135,-20428448
2024-01-23 04:58:00,18282604,-22027008
2024-01-23 04:58:30,17190561,-20688558
2024-01-23 04:59:00,18222742,-21843919
2024-01-23 04:59:30,17262688,-20750760
2024-01-23 05:00:00,17670997,-21074667
2024-01-23 05:00:30,16644800,-19889290
2024-01-23 05:01:00,17268373,-20754880
2024-01-23 05:01:30,18573999,-22190773
2024-01-23 05:02:00,18057395,-21569723
2024-01-23 05:02:30,18697617,-22315300
2024-01-23 05:03:00,19451562,-23220240
2024-01-23 05:03:30,17725005,-20963079
