"Time","by-dependencies"
2023-05-26 18:34:00,0.0393
2023-05-26 18:34:30,0.0464
2023-05-26 18:35:00,1.22
2023-05-26 18:35:30,3.48
2023-05-26 18:36:00,3.10
2023-05-26 18:36:30,3.45
2023-05-26 18:37:00,3.50
2023-05-26 18:37:30,3.37
2023-05-26 18:38:00,3.49
2023-05-26 18:38:30,3.60
2023-05-26 18:39:00,3.31
2023-05-26 18:39:30,3.17
2023-05-26 18:40:00,2.07
2023-05-26 18:40:30,1.55
2023-05-26 18:41:00,1.76
2023-05-26 18:41:30,0.177
2023-05-26 18:42:00,0.0599
2023-05-26 18:42:30,0.0676
2023-05-26 18:43:00,0.0579
2023-05-26 18:43:30,0.0447
2023-05-26 18:44:00,0.0622

