"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-26 18:34:00,11473,-22216
2023-05-26 18:34:30,12356,-22158
2023-05-26 18:35:00,3263723,-3625865
2023-05-26 18:35:30,7407105,-9190160
2023-05-26 18:36:00,9748654,-11795447
2023-05-26 18:36:30,11106070,-13598825
2023-05-26 18:37:00,11901325,-14563525
2023-05-26 18:37:30,10725381,-13318227
2023-05-26 18:38:00,10706342,-13175374
2023-05-26 18:38:30,9851769,-12234867
2023-05-26 18:39:00,11052901,-13549041
2023-05-26 18:39:30,10403489,-12133475
2023-05-26 18:40:00,4197483,-4222814
2023-05-26 18:40:30,6749090,-8259214
2023-05-26 18:41:00,11042890,-14490742
2023-05-26 18:41:30,235881,-250231
2023-05-26 18:42:00,276767,-379318
2023-05-26 18:42:30,22232,-29951
2023-05-26 18:43:00,12547,-24574
2023-05-26 18:43:30,37492,-51232
2023-05-26 18:44:00,15550,-24899

