"Time","receive - by-stack","transmit - by-stack"
2023-05-26 15:25:00,10962,-18532
2023-05-26 15:25:30,1821716,-2219284
2023-05-26 15:26:00,6704839,-8444731
2023-05-26 15:26:30,9035979,-10980728
2023-05-26 15:27:00,10870569,-13221265
2023-05-26 15:27:30,12405120,-14950034
2023-05-26 15:28:00,12680622,-14994286
2023-05-26 15:28:30,10122285,-11990071
2023-05-26 15:29:00,9261348,-11756166
2023-05-26 15:29:30,11825736,-14382316
2023-05-26 15:30:00,11673864,-14210584
2023-05-26 15:30:30,11004395,-13003583
2023-05-26 15:31:00,10254276,-12468187
2023-05-26 15:31:30,9883715,-11986009
2023-05-26 15:32:00,10507185,-12372954
2023-05-26 15:32:30,10777870,-13030945
2023-05-26 15:33:00,9225478,-11550713
2023-05-26 15:33:30,10666823,-12855367
2023-05-26 15:34:00,10247625,-11859821
2023-05-26 15:34:30,10085658,-12212073
2023-05-26 15:35:00,9165143,-11295389

