"Time","by-stack"
2023-05-27 11:24:00,0.0375
2023-05-27 11:24:30,0.0756
2023-05-27 11:25:00,1.86
2023-05-27 11:25:30,3.07
2023-05-27 11:26:00,3.26
2023-05-27 11:26:30,2.90
2023-05-27 11:27:00,3.37
2023-05-27 11:27:30,2.81
2023-05-27 11:28:00,2.87
2023-05-27 11:28:30,2.93
2023-05-27 11:29:00,2.87
2023-05-27 11:29:30,2.94
2023-05-27 11:30:00,2.90
2023-05-27 11:30:30,2.36
2023-05-27 11:31:00,3.00
2023-05-27 11:31:30,3.02
2023-05-27 11:32:00,2.65
2023-05-27 11:32:30,2.99
2023-05-27 11:33:00,2.93
2023-05-27 11:33:30,3.04
2023-05-27 11:34:00,2.77

