"Time","receive - all-in-one","transmit - all-in-one"
2023-05-25 20:14:00,10064,-16949
2023-05-25 20:14:30,10458,-15182
2023-05-25 20:15:00,1967755,-2240911
2023-05-25 20:15:30,6282929,-8104385
2023-05-25 20:16:00,8918749,-11513311
2023-05-25 20:16:30,11993709,-15238458
2023-05-25 20:17:00,9639874,-11815283
2023-05-25 20:17:30,9290653,-11986284
2023-05-25 20:18:00,10124074,-12599938
2023-05-25 20:18:30,11113706,-14171453
2023-05-25 20:19:00,10690850,-13607424
2023-05-25 20:19:30,9428312,-11485275
2023-05-25 20:20:00,8368604,-10912117
2023-05-25 20:20:30,8622669,-10946452
2023-05-25 20:21:00,7307102,-9523751
2023-05-25 20:21:30,8493673,-10456137
2023-05-25 20:22:00,8768634,-10757709
2023-05-25 20:22:30,7969474,-10572883
2023-05-25 20:23:00,9138967,-11606074
2023-05-25 20:23:30,8912304,-10768357
2023-05-25 20:24:00,8765947,-11108803

