"Time","all-in-one"
2023-05-25 20:14:00,1007616
2023-05-25 20:14:30,1007616
2023-05-25 20:15:00,1044480
2023-05-25 20:15:30,14954496
2023-05-25 20:16:00,19427328
2023-05-25 20:16:30,19427328
2023-05-25 20:17:00,58089472
2023-05-25 20:17:30,88096768
2023-05-25 20:18:00,90693632
2023-05-25 20:18:30,110698496
2023-05-25 20:19:00,118562816
2023-05-25 20:19:30,118562816
2023-05-25 20:20:00,124375040
2023-05-25 20:20:30,120115200
2023-05-25 20:21:00,126976000
2023-05-25 20:21:30,126976000
2023-05-25 20:22:00,155287552
2023-05-25 20:22:30,155287552
2023-05-25 20:23:00,156901376
2023-05-25 20:23:30,148512768
2023-05-25 20:24:00,154320896

