"Time","receive - all-in-one","transmit - all-in-one"
2024-02-27 06:45:00,35755,-91454
2024-02-27 06:45:30,2439022,-3407000
2024-02-27 06:46:00,7415642,-9633936
2024-02-27 06:46:30,10434478,-13150437
2024-02-27 06:47:00,12103871,-15365998
2024-02-27 06:47:30,11058713,-14666184
2024-02-27 06:48:00,17584620,-22188056
2024-02-27 06:48:30,21960240,-27553160
2024-02-27 06:49:00,24245357,-30335233
2024-02-27 06:49:30,24435508,-30851735
2024-02-27 06:50:00,22505046,-28496532
2024-02-27 06:50:30,24624989,-30732563
2024-02-27 06:51:00,25619762,-32048297
2024-02-27 06:51:30,26154417,-32677385
2024-02-27 06:52:00,26620310,-33364693
2024-02-27 06:52:30,26474884,-33171950
2024-02-27 06:53:00,25797257,-31228931
2024-02-27 06:53:30,23373484,-28847614
2024-02-27 06:54:00,23887908,-30297583
2024-02-27 06:54:30,24797742,-31382390
2024-02-27 06:55:00,26593743,-32877373
