sep=,
"Time","receive - by-dependencies","transmit - by-dependencies"
2023-03-30 07:32:30,12810,-23690
2023-03-30 07:33:00,13194,-24180
2023-03-30 07:33:30,3124408,-3815380
2023-03-30 07:34:00,7503752,-9208080
2023-03-30 07:34:30,9084767,-11338253
2023-03-30 07:35:00,12512031,-15210029
2023-03-30 07:35:30,11319135,-14181540
2023-03-30 07:36:00,11894634,-14565920
2023-03-30 07:36:30,13364703,-16229506
2023-03-30 07:37:00,14607169,-17781457
2023-03-30 07:37:30,15974974,-19345714
2023-03-30 07:38:00,16190650,-19610607
2023-03-30 07:38:30,11768458,-15098431
2023-03-30 07:39:00,15812858,-19252294
2023-03-30 07:39:30,13545823,-16876389
2023-03-30 07:40:00,16870540,-20434028
2023-03-30 07:40:30,16014063,-19424937
2023-03-30 07:41:00,16178849,-19599751
2023-03-30 07:41:30,15974342,-19381828
2023-03-30 07:42:00,16198897,-19594807
2023-03-30 07:42:30,16028577,-19309071

