"Time","by-stack"
2024-02-27 02:09:00,0.0555
2024-02-27 02:09:30,1.56
2024-02-27 02:10:00,3.60
2024-02-27 02:10:30,4.91
2024-02-27 02:11:00,4.99
2024-02-27 02:11:30,3.80
2024-02-27 02:12:00,3.90
2024-02-27 02:12:30,3.98
2024-02-27 02:13:00,4.42
2024-02-27 02:13:30,4.82
2024-02-27 02:14:00,4.94
2024-02-27 02:14:30,4.87
2024-02-27 02:15:00,4.90
2024-02-27 02:15:30,4.80
2024-02-27 02:16:00,5.07
2024-02-27 02:16:30,4.93
2024-02-27 02:17:00,5.21
2024-02-27 02:17:30,4.90
2024-02-27 02:18:00,5.10
2024-02-27 02:18:30,5.06
2024-02-27 02:19:00,4.90
