"Time","receive - by-stack","transmit - by-stack"
2024-02-27 02:09:00,16084,-28282
2024-02-27 02:09:30,2195725,-3070072
2024-02-27 02:10:00,12275172,-15041934
2024-02-27 02:10:30,12396442,-14727671
2024-02-27 02:11:00,14632427,-17242851
2024-02-27 02:11:30,17751776,-21396729
2024-02-27 02:12:00,18856578,-22226784
2024-02-27 02:12:30,14062747,-16422511
2024-02-27 02:13:00,12880049,-14574241
2024-02-27 02:13:30,14479163,-17465680
2024-02-27 02:14:00,16468855,-19832887
2024-02-27 02:14:30,16707212,-19319593
2024-02-27 02:15:00,18080153,-20608578
2024-02-27 02:15:30,18122236,-21699689
2024-02-27 02:16:00,16221610,-19606061
2024-02-27 02:16:30,17540096,-20786246
2024-02-27 02:17:00,18583014,-22188497
2024-02-27 02:17:30,18992848,-22683290
2024-02-27 02:18:00,18936492,-22501808
2024-02-27 02:18:30,18851293,-22573101
2024-02-27 02:19:00,19451576,-22409638
