"Time","receive - all-in-one","transmit - all-in-one"
2024-01-20 01:44:30,58057,-80939
2024-01-20 01:45:00,3958657,-5379425
2024-01-20 01:45:30,8824035,-11221344
2024-01-20 01:46:00,11256427,-14237132
2024-01-20 01:46:30,14768638,-19102241
2024-01-20 01:47:00,18390353,-23182473
2024-01-20 01:47:30,16428611,-20551224
2024-01-20 01:48:00,16229793,-20351792
2024-01-20 01:48:30,16345090,-20143602
2024-01-20 01:49:00,15913426,-19924255
2024-01-20 01:49:30,15184989,-18656299
2024-01-20 01:50:00,13894733,-17294009
2024-01-20 01:50:30,13360078,-16603019
2024-01-20 01:51:00,13322498,-16788375
2024-01-20 01:51:30,12437802,-15844769
2024-01-20 01:52:00,12880485,-16061162
2024-01-20 01:52:30,13325895,-16404974
2024-01-20 01:53:00,14400210,-17948385
2024-01-20 01:53:30,13452264,-16769562
2024-01-20 01:54:00,13255240,-16542107
2024-01-20 01:54:30,12809360,-15764120
