"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-27 05:12:30,758475,-810147
2024-02-27 05:13:00,9649468,-12446812
2024-02-27 05:13:30,12932352,-15687608
2024-02-27 05:14:00,11209158,-13610854
2024-02-27 05:14:30,16629029,-20013939
2024-02-27 05:15:00,20953433,-25060060
2024-02-27 05:15:30,17838304,-20661332
2024-02-27 05:16:00,15452849,-18477896
2024-02-27 05:16:30,10036253,-12333388
2024-02-27 05:17:00,8396633,-10122191
2024-02-27 05:17:30,9939608,-12069461
2024-02-27 05:18:00,13113738,-15729857
2024-02-27 05:18:30,11482347,-13615579
2024-02-27 05:19:00,11150693,-13459609
2024-02-27 05:19:30,12830126,-15202298
2024-02-27 05:20:00,13507469,-16229800
2024-02-27 05:20:30,14215210,-17018997
2024-02-27 05:21:00,13132218,-15755764
2024-02-27 05:21:30,12309929,-14353588
2024-02-27 05:22:00,13003760,-15655555
2024-02-27 05:22:30,11779200,-13993275
