"Time","by-stack - bystackgo","by-stack - bystackjvm","by-stack - bystacknode","by-stack - carts-db","by-stack - catalogue-db","by-stack - orders-db","by-stack - rabbitmq","by-stack - rabbitmq-exporter","by-stack - session-db","by-stack - user-db"
2024-02-27 03:06:45,1,1,1,1,1,1,1,1,1,1
2024-02-27 03:07:00,1,1,1,1,1,1,1,1,1,1
2024-02-27 03:07:15,1,1,1,1,1,1,1,1,1,1
2024-02-27 03:07:30,1,1,1,1,1,1,1,1,1,1
2024-02-27 03:07:45,1,1,1,1,1,1,1,1,1,1
2024-02-27 03:08:00,1,1,1,1,1,1,1,1,1,1
2024-02-27 03:08:15,1,1,1,1,1,1,1,1,1,1
2024-02-27 03:08:30,0,1,1,1,1,1,1,1,1,1
2024-02-27 03:08:45,0,1,0,1,1,1,1,1,1,1
2024-02-27 03:09:00,0,1,0,1,1,1,1,1,1,1
2024-02-27 03:09:15,1,2,0,1,1,1,1,1,1,1
2024-02-27 03:09:30,1,2,1,1,1,1,1,1,1,1
2024-02-27 03:09:45,1,2,2,1,1,1,1,1,1,1
2024-02-27 03:10:00,1,2,2,1,1,1,1,1,1,1
2024-02-27 03:10:15,1,2,2,1,1,1,1,1,1,1
2024-02-27 03:10:30,1,2,2,1,1,1,1,1,1,1
2024-02-27 03:10:45,2,2,2,1,1,1,1,1,1,1
2024-02-27 03:11:00,2,2,2,1,1,1,1,1,1,1
2024-02-27 03:11:15,2,2,2,1,1,1,1,1,1,1
2024-02-27 03:11:30,2,2,2,1,1,1,1,1,1,1
2024-02-27 03:11:45,2,2,2,1,1,1,1,1,1,1
2024-02-27 03:12:00,2,2,2,1,1,1,1,1,1,1
2024-02-27 03:12:15,2,2,2,1,1,1,1,1,1,1
2024-02-27 03:12:30,2,2,2,1,1,1,1,1,1,1
2024-02-27 03:12:45,2,2,2,1,1,1,1,1,1,1
2024-02-27 03:13:00,2,2,1,1,1,1,1,1,1,1
2024-02-27 03:13:15,2,2,1,1,1,1,1,1,1,1
2024-02-27 03:13:30,2,2,1,1,1,1,1,1,1,1
2024-02-27 03:13:45,2,2,1,1,1,1,1,1,1,1
2024-02-27 03:14:00,2,2,1,1,1,1,1,1,1,1
2024-02-27 03:14:15,2,2,1,1,1,1,1,1,1,1
2024-02-27 03:14:30,2,2,1,1,1,1,1,1,1,1
2024-02-27 03:14:45,2,2,1,1,1,1,1,1,1,1
2024-02-27 03:15:00,2,2,1,1,1,1,1,1,1,1
2024-02-27 03:15:15,2,2,1,1,1,1,1,1,1,1
2024-02-27 03:15:30,3,2,2,1,1,1,1,1,1,1
2024-02-27 03:15:45,3,2,2,1,1,1,1,1,1,1
2024-02-27 03:16:00,3,2,2,1,1,1,1,1,1,1
2024-02-27 03:16:15,3,2,2,1,1,1,1,1,1,1
2024-02-27 03:16:30,3,3,2,1,1,1,1,1,1,1
2024-02-27 03:16:45,3,3,2,1,1,1,1,1,1,1
