"Time","Total Cost"
2024-02-27 03:08:00,68.82
2024-02-27 03:08:15,129.68
2024-02-27 03:08:30,129.68
2024-02-27 03:08:45,129.68
2024-02-27 03:09:00,129.68
2024-02-27 03:09:15,165.86
2024-02-27 03:09:30,165.86
2024-02-27 03:09:45,165.86
2024-02-27 03:10:00,165.86
2024-02-27 03:10:15,148.45
2024-02-27 03:10:30,148.45
2024-02-27 03:10:45,148.45
2024-02-27 03:11:00,148.45
2024-02-27 03:11:15,158.37
2024-02-27 03:11:30,158.37
2024-02-27 03:11:45,158.37
2024-02-27 03:12:00,158.37
2024-02-27 03:12:15,222.92
2024-02-27 03:12:30,222.92
2024-02-27 03:12:45,222.92
2024-02-27 03:13:00,222.92
2024-02-27 03:13:15,224.91
2024-02-27 03:13:30,224.91
2024-02-27 03:13:45,224.91
2024-02-27 03:14:00,224.91
2024-02-27 03:14:15,218.69
2024-02-27 03:14:30,218.69
2024-02-27 03:14:45,218.69
2024-02-27 03:15:00,218.69
2024-02-27 03:15:15,250.03
2024-02-27 03:15:30,250.03
2024-02-27 03:15:45,250.03
2024-02-27 03:16:00,250.03
2024-02-27 03:16:15,226.38
2024-02-27 03:16:30,226.38
2024-02-27 03:16:45,226.38
2024-02-27 03:17:00,226.38
2024-02-27 03:17:15,235.64
2024-02-27 03:17:30,235.64
2024-02-27 03:17:45,235.64
2024-02-27 03:18:00,235.64
