"Time","receive - by-stack","transmit - by-stack"
2024-02-27 03:06:30,225372,-298960
2024-02-27 03:07:00,6132591,-7450517
2024-02-27 03:07:30,12034696,-14318303
2024-02-27 03:08:00,12305293,-14608909
2024-02-27 03:08:30,14354874,-17798024
2024-02-27 03:09:00,6051780,-7385823
2024-02-27 03:09:30,570270,-589603
2024-02-27 03:10:00,13185533,-16055940
2024-02-27 03:10:30,15509021,-18366094
2024-02-27 03:11:00,16205887,-19397264
2024-02-27 03:11:30,16848377,-20153356
2024-02-27 03:12:00,15651226,-18558333
2024-02-27 03:12:30,17315764,-20829150
2024-02-27 03:13:00,15759086,-18925996
2024-02-27 03:13:30,13622363,-16069618
2024-02-27 03:14:00,12643147,-14109094
2024-02-27 03:14:30,13405894,-14876260
2024-02-27 03:15:00,5429924,-5941652
2024-02-27 03:15:30,4900160,-5498673
2024-02-27 03:16:00,12379080,-14445111
2024-02-27 03:16:30,14241850,-17052002
