"Time","receive - by-dependencies","transmit - by-dependencies"
2024-01-23 00:17:00,19942,-32657
2024-01-23 00:17:30,3019585,-3719113
2024-01-23 00:18:00,8019695,-9781820
2024-01-23 00:18:30,11768338,-14101917
2024-01-23 00:19:00,13864257,-16862850
2024-01-23 00:19:30,16439559,-19791955
2024-01-23 00:20:00,19361003,-23167009
2024-01-23 00:20:30,17375883,-20630339
2024-01-23 00:21:00,20030008,-24576501
2024-01-23 00:21:30,26821579,-30447043
2024-01-23 00:22:00,29230700,-35379152
2024-01-23 00:22:30,30860585,-37033147
2024-01-23 00:23:00,30596742,-36384602
2024-01-23 00:23:30,29516486,-35740784
2024-01-23 00:24:00,30060866,-36058581
2024-01-23 00:24:30,29266158,-35192310
2024-01-23 00:25:00,32042381,-38486875
2024-01-23 00:25:30,31993318,-38395493
2024-01-23 00:26:00,29391818,-34707470
2024-01-23 00:26:30,31922414,-38309624
2024-01-23 00:27:00,30992926,-36812750
