"Time","by-dependencies"
2024-01-23 00:17:00,0.0630
2024-01-23 00:17:30,1.74
2024-01-23 00:18:00,3.19
2024-01-23 00:18:30,4.29
2024-01-23 00:19:00,5.03
2024-01-23 00:19:30,4.18
2024-01-23 00:20:00,3.97
2024-01-23 00:20:30,3.88
2024-01-23 00:21:00,4.88
2024-01-23 00:21:30,5.80
2024-01-23 00:22:00,5.62
2024-01-23 00:22:30,5.78
2024-01-23 00:23:00,5.81
2024-01-23 00:23:30,5.94
2024-01-23 00:24:00,5.73
2024-01-23 00:24:30,5.66
2024-01-23 00:25:00,5.72
2024-01-23 00:25:30,5.41
2024-01-23 00:26:00,5.73
2024-01-23 00:26:30,5.55
2024-01-23 00:27:00,5.42
