"Time","receive - all-in-one","transmit - all-in-one"
2023-05-28 18:45:00,9329,-15656
2023-05-28 18:45:30,613989,-630225
2023-05-28 18:46:00,4273542,-5590281
2023-05-28 18:46:30,7638809,-9762825
2023-05-28 18:47:00,9790464,-12399653
2023-05-28 18:47:30,10327364,-12792934
2023-05-28 18:48:00,9550032,-12170230
2023-05-28 18:48:30,7761415,-10112348
2023-05-28 18:49:00,10387339,-12688405
2023-05-28 18:49:30,10464154,-13393697
2023-05-28 18:50:00,9308835,-11905172
2023-05-28 18:50:30,8540231,-10873254
2023-05-28 18:51:00,7866533,-10192559
2023-05-28 18:51:30,7673859,-9599726
2023-05-28 18:52:00,7932888,-9728217
2023-05-28 18:52:30,7399960,-9405900
2023-05-28 18:53:00,7468030,-9483131
2023-05-28 18:53:30,7456959,-9457843
2023-05-28 18:54:00,6842625,-8877584
2023-05-28 18:54:30,7567158,-9621408
2023-05-28 18:55:00,6957447,-9016526

