"Time","receive - by-dependencies","transmit - by-dependencies"
2024-01-20 02:06:30,134997,-147489
2024-01-20 02:07:00,8122695,-10176446
2024-01-20 02:07:30,18179883,-21489281
2024-01-20 02:08:00,13044425,-15531133
2024-01-20 02:08:30,13130919,-15470199
2024-01-20 02:09:00,19497132,-23474225
2024-01-20 02:09:30,19152573,-21812350
2024-01-20 02:10:00,14258529,-17200261
2024-01-20 02:10:30,11062442,-13405257
2024-01-20 02:11:00,11298401,-13466039
2024-01-20 02:11:30,8692046,-10530964
2024-01-20 02:12:00,11441092,-13737521
2024-01-20 02:12:30,12575282,-15378830
2024-01-20 02:13:00,9498599,-11531336
2024-01-20 02:13:30,10620738,-12845588
2024-01-20 02:14:00,12004273,-14493658
2024-01-20 02:14:30,10913102,-13295067
2024-01-20 02:15:00,11676195,-13662098
2024-01-20 02:15:30,6733431,-7327747
2024-01-20 02:16:00,7843227,-8876642
2024-01-20 02:16:30,7442913,-9019387
