"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-27 23:30:30,11596,-22103
2023-05-27 23:31:00,12219,-21922
2023-05-27 23:31:30,1480950,-1892539
2023-05-27 23:32:00,5464020,-6797227
2023-05-27 23:32:30,7838107,-9684654
2023-05-27 23:33:00,10916662,-13355327
2023-05-27 23:33:30,13647530,-16514264
2023-05-27 23:34:00,12858295,-15740854
2023-05-27 23:34:30,13615219,-16549799
2023-05-27 23:35:00,13587425,-15479035
2023-05-27 23:35:30,15411148,-18638280
2023-05-27 23:36:00,13826947,-16511072
2023-05-27 23:36:30,13970056,-17147678
2023-05-27 23:37:00,14386168,-17717770
2023-05-27 23:37:30,16143267,-19484089
2023-05-27 23:38:00,13943091,-17163959
2023-05-27 23:38:30,15748425,-19160989
2023-05-27 23:39:00,15984475,-19337955
2023-05-27 23:39:30,15682615,-18436231
2023-05-27 23:40:00,14170469,-17545950
2023-05-27 23:40:30,16350076,-19719453

