"Time","receive - all-in-one","transmit - all-in-one"
2023-05-25 22:16:00,10137,-18389
2023-05-25 22:16:30,696376,-1087509
2023-05-25 22:17:00,5943584,-7505300
2023-05-25 22:17:30,8959347,-11359479
2023-05-25 22:18:00,11734264,-14876723
2023-05-25 22:18:30,10397244,-13664200
2023-05-25 22:19:00,10681445,-13668631
2023-05-25 22:19:30,8766236,-11516229
2023-05-25 22:20:00,9931303,-12718425
2023-05-25 22:20:30,8578427,-11280710
2023-05-25 22:21:00,9624278,-12288678
2023-05-25 22:21:30,9367682,-11984769
2023-05-25 22:22:00,7844844,-9709967
2023-05-25 22:22:30,8766662,-11214291
2023-05-25 22:23:00,7877455,-10216630
2023-05-25 22:23:30,7533318,-9765922
2023-05-25 22:24:00,7766703,-9940091
2023-05-25 22:24:30,7552192,-9689364
2023-05-25 22:25:00,6340517,-8161283
2023-05-25 22:25:30,5919671,-7836301
2023-05-25 22:26:00,6269773,-7721065

