"Time","all-in-one - allinone","all-in-one - carts-db","all-in-one - catalogue-db","all-in-one - orders-db","all-in-one - rabbitmq","all-in-one - rabbitmq-exporter","all-in-one - session-db","all-in-one - user-db"
2023-05-25 22:16:15,1,1,1,1,1,1,1,1
2023-05-25 22:16:30,1,1,1,1,1,1,1,1
2023-05-25 22:16:45,1,1,1,1,1,1,1,1
2023-05-25 22:17:00,1,1,1,1,1,1,1,1
2023-05-25 22:17:15,1,1,1,1,1,1,1,1
2023-05-25 22:17:30,1,1,1,1,1,1,1,1
2023-05-25 22:17:45,1,1,1,1,1,1,1,1
2023-05-25 22:18:00,1,1,1,1,1,1,1,1
2023-05-25 22:18:15,1,1,1,1,1,1,1,1
2023-05-25 22:18:30,1,1,1,1,1,1,1,1
2023-05-25 22:18:45,1,1,1,1,1,1,1,1
2023-05-25 22:19:00,1,1,1,1,1,1,1,1
2023-05-25 22:19:15,1,1,1,1,1,1,1,1
2023-05-25 22:19:30,1,1,1,1,1,1,1,1
2023-05-25 22:19:45,1,1,1,1,1,1,1,1
2023-05-25 22:20:00,1,1,1,1,1,1,1,1
2023-05-25 22:20:15,1,1,1,1,1,1,1,1
2023-05-25 22:20:30,1,1,1,1,1,1,1,1
2023-05-25 22:20:45,1,1,1,1,1,1,1,1
2023-05-25 22:21:00,1,1,1,1,1,1,1,1
2023-05-25 22:21:15,1,1,1,1,1,1,1,1
2023-05-25 22:21:30,1,1,1,1,1,1,1,1
2023-05-25 22:21:45,1,1,1,1,1,1,1,1
2023-05-25 22:22:00,1,1,1,1,1,1,1,1
2023-05-25 22:22:15,1,1,1,1,1,1,1,1
2023-05-25 22:22:30,1,1,1,1,1,1,1,1
2023-05-25 22:22:45,1,1,1,1,1,1,1,1
2023-05-25 22:23:00,1,1,1,1,1,1,1,1
2023-05-25 22:23:15,1,1,1,1,1,1,1,1
2023-05-25 22:23:30,1,1,1,1,1,1,1,1
2023-05-25 22:23:45,1,1,1,1,1,1,1,1
2023-05-25 22:24:00,1,1,1,1,1,1,1,1
2023-05-25 22:24:15,1,1,1,1,1,1,1,1
2023-05-25 22:24:30,1,1,1,1,1,1,1,1
2023-05-25 22:24:45,1,1,1,1,1,1,1,1
2023-05-25 22:25:00,1,1,1,1,1,1,1,1
2023-05-25 22:25:15,1,1,1,1,1,1,1,1
2023-05-25 22:25:30,1,1,1,1,1,1,1,1
2023-05-25 22:25:45,1,1,1,1,1,1,1,1
2023-05-25 22:26:00,0,1,1,1,1,1,1,1
2023-05-25 22:26:15,0,1,1,1,1,1,1,1

