"Time","receive - all-in-one","transmit - all-in-one"
2024-02-27 03:53:00,218979,-353533
2024-02-27 03:53:30,3125679,-3970206
2024-02-27 03:54:00,8598839,-10638155
2024-02-27 03:54:30,10474143,-13220867
2024-02-27 03:55:00,12617901,-15868473
2024-02-27 03:55:30,15077618,-19048452
2024-02-27 03:56:00,20827787,-26052509
2024-02-27 03:56:30,23907741,-29852697
2024-02-27 03:57:00,24116911,-29591781
2024-02-27 03:57:30,23627387,-29770314
2024-02-27 03:58:00,25120187,-31476773
2024-02-27 03:58:30,25753578,-32534880
2024-02-27 03:59:00,25394386,-32015148
2024-02-27 03:59:30,26894327,-33643671
2024-02-27 04:00:00,26030110,-32393291
2024-02-27 04:00:30,25773450,-32435467
2024-02-27 04:01:00,26593120,-33283647
2024-02-27 04:01:30,26509524,-33145943
2024-02-27 04:02:00,25938969,-31932512
2024-02-27 04:02:30,24372472,-30967367
2024-02-27 04:03:00,24341540,-30001811
