"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-27 08:04:30,276138,-294309
2024-02-27 08:05:00,6868332,-8493669
2024-02-27 08:05:30,8410660,-10113539
2024-02-27 08:06:00,6110762,-7150965
2024-02-27 08:06:30,9394165,-11292316
2024-02-27 08:07:00,13093387,-15926082
2024-02-27 08:07:30,10371423,-12610044
2024-02-27 08:08:00,9529947,-10921270
2024-02-27 08:08:30,11142576,-13485885
2024-02-27 08:09:00,9717215,-11667396
2024-02-27 08:09:30,8782738,-10414983
2024-02-27 08:10:00,8412195,-9980774
2024-02-27 08:10:30,8037433,-9666711
2024-02-27 08:11:00,10138831,-11882517
2024-02-27 08:11:30,9512362,-11550019
2024-02-27 08:12:00,9541386,-11448540
2024-02-27 08:12:30,9891191,-11956337
2024-02-27 08:13:00,10896532,-12918697
2024-02-27 08:13:30,9772636,-11442115
2024-02-27 08:14:00,11197411,-13008766
2024-02-27 08:14:30,9367577,-11005798
