"Time","receive - all-in-one","transmit - all-in-one"
2024-01-19 16:10:00,98777,-178931
2024-01-19 16:10:30,4068501,-5203049
2024-01-19 16:11:00,7503056,-9298226
2024-01-19 16:11:30,5586864,-7033504
2024-01-19 16:12:00,9987962,-12486978
2024-01-19 16:12:30,16886594,-21025323
2024-01-19 16:13:00,19255723,-24230513
2024-01-19 16:13:30,23514086,-29437217
2024-01-19 16:14:00,25837472,-32365883
2024-01-19 16:14:30,23208940,-29370138
2024-01-19 16:15:00,25052890,-31282661
2024-01-19 16:15:30,22906444,-29439551
2024-01-19 16:16:00,27510363,-34365660
2024-01-19 16:16:30,27159361,-33894560
2024-01-19 16:17:00,26938135,-33649304
2024-01-19 16:17:30,27048489,-32753920
2024-01-19 16:18:00,26057345,-32862898
2024-01-19 16:18:30,26495601,-33293680
2024-01-19 16:19:00,24261893,-31090748
2024-01-19 16:19:30,27062066,-33857449
2024-01-19 16:20:00,21487433,-27605492
