"Time","by-dependencies"
2023-05-28 10:04:30,269639680
2023-05-28 10:05:00,269725696
2023-05-28 10:05:30,286633984
2023-05-28 10:06:00,289554432
2023-05-28 10:06:30,296431616
2023-05-28 10:07:00,300208128
2023-05-28 10:07:30,303919104
2023-05-28 10:08:00,317169664
2023-05-28 10:08:30,328523776
2023-05-28 10:09:00,341671936
2023-05-28 10:09:30,356392960
2023-05-28 10:10:00,371073024
2023-05-28 10:10:30,382177280
2023-05-28 10:11:00,382181376
2023-05-28 10:11:30,381071360
2023-05-28 10:12:00,394784768
2023-05-28 10:12:30,395874304
2023-05-28 10:13:00,420556800
2023-05-28 10:13:30,422170624
2023-05-28 10:14:00,430559232
2023-05-28 10:14:30,443142144

