"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-28 10:04:30,16935,-28988
2023-05-28 10:05:00,758522,-778313
2023-05-28 10:05:30,11219474,-13633748
2023-05-28 10:06:00,14394688,-17668914
2023-05-28 10:06:30,12312625,-15619828
2023-05-28 10:07:00,15854899,-19085038
2023-05-28 10:07:30,15049852,-18224053
2023-05-28 10:08:00,14848924,-17995012
2023-05-28 10:08:30,13351240,-15758452
2023-05-28 10:09:00,13124271,-16025908
2023-05-28 10:09:30,11548005,-14288415
2023-05-28 10:10:00,11955223,-14634606
2023-05-28 10:10:30,10970499,-13396643
2023-05-28 10:11:00,7637093,-9665930
2023-05-28 10:11:30,8838283,-10744049
2023-05-28 10:12:00,9202402,-11230082
2023-05-28 10:12:30,9674328,-11747811
2023-05-28 10:13:00,8653744,-10521542
2023-05-28 10:13:30,8483130,-10352678
2023-05-28 10:14:00,9038835,-10818955
2023-05-28 10:14:30,8905533,-10780574

