"Time","by-dependencies"
2023-05-28 10:04:30,2505617408
2023-05-28 10:05:00,2517565440
2023-05-28 10:05:30,2684989440
2023-05-28 10:06:00,2748862464
2023-05-28 10:06:30,2802876416
2023-05-28 10:07:00,2845298688
2023-05-28 10:07:30,2976768000
2023-05-28 10:08:00,2999717888
2023-05-28 10:08:30,3021312000
2023-05-28 10:09:00,3050930176
2023-05-28 10:09:30,3087298560
2023-05-28 10:10:00,3124224000
2023-05-28 10:10:30,3192078336
2023-05-28 10:11:00,3153358848
2023-05-28 10:11:30,3194294272
2023-05-28 10:12:00,3187765248
2023-05-28 10:12:30,3175088128
2023-05-28 10:13:00,3189121024
2023-05-28 10:13:30,3188838400
2023-05-28 10:14:00,3207225344
2023-05-28 10:14:30,3211345920

