"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-27 04:15:00,16355,-27021
2024-02-27 04:15:30,2252043,-3085167
2024-02-27 04:16:00,8959216,-10816324
2024-02-27 04:16:30,11106594,-13399692
2024-02-27 04:17:00,13576213,-16008304
2024-02-27 04:17:30,13723666,-16991455
2024-02-27 04:18:00,16421968,-19689463
2024-02-27 04:18:30,16073518,-19333625
2024-02-27 04:19:00,18853571,-22607492
2024-02-27 04:19:30,21703806,-26013668
2024-02-27 04:20:00,24561953,-29236733
2024-02-27 04:20:30,23760331,-28843128
2024-02-27 04:21:00,21477506,-26006701
2024-02-27 04:21:30,23713817,-28434013
2024-02-27 04:22:00,27606729,-33344526
2024-02-27 04:22:30,29563915,-34520612
2024-02-27 04:23:00,30421185,-36370193
2024-02-27 04:23:30,30874799,-36825270
2024-02-27 04:24:00,30782951,-36512802
2024-02-27 04:24:30,30946410,-36237124
2024-02-27 04:25:00,30823098,-36881750
