Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,45733,0,130,162.52729976166006,2,545,8688.0,76.21683156135005,0.0,130,240,270,280,310,330,360,380,430,480,540
GET,/basket.html,45571,0,110,138.58157600228216,2,697,23020.0,75.94684868874299,0.0,110,220,240,260,300,330,360,390,480,560,700
DELETE,/cart,45454,0,310,333.14920579046947,6,4788,0.0,75.75186105852679,0.0,310,420,460,490,580,740,1100,1500,3000,4400,4800
POST,/cart,45608,13,700,733.0026530433257,21,8538,0.01824241361164708,76.0085114435977,0.021665292246245613,700,850,950,1000,1300,1600,2200,2800,6000,7500,8500
GET,/category.html,45684,0,95,126.87814114350758,2,524,11518.0,76.13517007519113,0.0,95,200,230,240,270,300,340,360,430,500,520
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,4891,0,91,131.07830709466367,2,485,10364.0,8.151149567414407,0.0,91,220,240,260,290,320,350,380,450,480,480
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,5064,0,91,130.9277251184834,2,492,10364.0,8.439464610383677,0.0,91,210,240,260,290,320,350,370,440,490,490
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,5116,0,90,130.25781860828772,2,468,10364.0,8.526125779368659,0.0,90,220,240,260,290,320,350,370,420,470,470
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,5169,0,88,129.08086670535886,2,497,10364.0,8.614453509295661,0.0,88,210,240,260,280,320,350,380,470,500,500
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,5050,0,98,131.00277227722773,2,489,10364.0,8.416132757195411,0.0,99,210,250,260,290,320,350,370,450,490,490
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,5089,0,87,130.3967380624877,2,466,10364.0,8.481128633934148,0.0,87,220,250,260,290,320,350,370,440,470,470
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,5111,0,94,130.49579338681275,2,486,10364.0,8.517792974658564,0.0,94,220,240,260,280,320,360,380,440,490,490
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,5097,0,91,130.65018638414753,2,517,10364.0,8.4944611214703,0.0,91,220,250,260,290,320,350,370,440,520,520
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,5062,0,95,131.409719478467,2,475,10364.0,8.436131488499639,0.0,96,210,250,260,290,320,350,380,440,480,480
GET,/login,45691,0,580,580.8469939375369,46,5992,12.998008360508635,76.14683600178526,0.0,580,720,780,820,960,1200,1600,2100,4100,5400,6000
POST,/orders,45482,0,780,749.7846180906732,87,8190,609.5633217536608,75.7985247649033,0.0,780,990,1100,1100,1200,1400,1700,2100,6300,8000,8200
,Aggregated,364872,13,240,369.2263944616194,2,8538,6780.422052116906,608.0814240363177,0.021665292246245613,240,340,490,650,940,1100,1400,1800,4300,7200,8500
