sep=,
"Time","receive - by-dependencies","transmit - by-dependencies"
2023-03-30 13:32:30,12350,-22495
2023-03-30 13:33:00,844528,-1036334
2023-03-30 13:33:30,4909121,-5730213
2023-03-30 13:34:00,9108307,-11088370
2023-03-30 13:34:30,9358851,-11637571
2023-03-30 13:35:00,12125350,-14790931
2023-03-30 13:35:30,11793713,-14421901
2023-03-30 13:36:00,10623224,-13352130
2023-03-30 13:36:30,12469356,-15234368
2023-03-30 13:37:00,12592977,-15355671
2023-03-30 13:37:30,12102704,-14742840
2023-03-30 13:38:00,10832904,-13159301
2023-03-30 13:38:30,4730124,-5385280
2023-03-30 13:39:00,8869513,-10216272
2023-03-30 13:39:30,13967240,-17990040
2023-03-30 13:40:00,13725580,-18104605
2023-03-30 13:40:30,6799915,-7517622
2023-03-30 13:41:00,520977,-533664
2023-03-30 13:41:30,285650,-325028
2023-03-30 13:42:00,2681010,-3384883
2023-03-30 13:42:30,1073380,-1695492
2023-03-30 13:43:00,902600,-994086

