"Time","by-dependencies"
2023-05-28 17:45:30,8908800
2023-05-28 17:46:00,8908800
2023-05-28 17:46:30,15097856
2023-05-28 17:47:00,15069184
2023-05-28 17:47:30,44412928
2023-05-28 17:48:00,45309952
2023-05-28 17:48:30,75821056
2023-05-28 17:49:00,81588224
2023-05-28 17:49:30,116838400
2023-05-28 17:50:00,126382080
2023-05-28 17:50:30,172158976
2023-05-28 17:51:00,172163072
2023-05-28 17:51:30,206852096
2023-05-28 17:52:00,208949248
2023-05-28 17:52:30,214757376
2023-05-28 17:53:00,218939392
2023-05-28 17:53:30,220553216
2023-05-28 17:54:00,230559744
2023-05-28 17:54:30,244277248
2023-05-28 17:55:00,244277248
2023-05-28 17:55:30,252747776

