"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-28 17:45:30,10989,-20410
2023-05-28 17:46:00,88479,-100753
2023-05-28 17:46:30,2839208,-3611382
2023-05-28 17:47:00,7021780,-8602217
2023-05-28 17:47:30,7960710,-10087719
2023-05-28 17:48:00,12076524,-14810180
2023-05-28 17:48:30,13867183,-16811405
2023-05-28 17:49:00,12263536,-14006119
2023-05-28 17:49:30,14498819,-17564417
2023-05-28 17:50:00,14544856,-17780840
2023-05-28 17:50:30,16164882,-19547855
2023-05-28 17:51:00,16032703,-19315464
2023-05-28 17:51:30,13803345,-16719378
2023-05-28 17:52:00,15991343,-19369694
2023-05-28 17:52:30,16336248,-19731003
2023-05-28 17:53:00,15214485,-18641711
2023-05-28 17:53:30,16490568,-19923344
2023-05-28 17:54:00,15345251,-18185628
2023-05-28 17:54:30,16539598,-20004267
2023-05-28 17:55:00,15171936,-18584937
2023-05-28 17:55:30,16472556,-19925856

