"Time","by-dependencies"
2023-05-28 17:45:30,0.0383
2023-05-28 17:46:00,0.169
2023-05-28 17:46:30,1.69
2023-05-28 17:47:00,2.80
2023-05-28 17:47:30,3.14
2023-05-28 17:48:00,3.26
2023-05-28 17:48:30,3.06
2023-05-28 17:49:00,3.08
2023-05-28 17:49:30,3.08
2023-05-28 17:50:00,3.02
2023-05-28 17:50:30,3.03
2023-05-28 17:51:00,2.96
2023-05-28 17:51:30,3.07
2023-05-28 17:52:00,2.85
2023-05-28 17:52:30,2.86
2023-05-28 17:53:00,3.05
2023-05-28 17:53:30,3.03
2023-05-28 17:54:00,3.15
2023-05-28 17:54:30,3.12
2023-05-28 17:55:00,2.82
2023-05-28 17:55:30,2.90

