sep=,
"Time","by-stack"
2023-03-30 07:21:30,0.0488
2023-03-30 07:22:00,0.0616
2023-03-30 07:22:30,1.97
2023-03-30 07:23:00,3.13
2023-03-30 07:23:30,3.04
2023-03-30 07:24:00,3.02
2023-03-30 07:24:30,2.97
2023-03-30 07:25:00,2.95
2023-03-30 07:25:30,2.94
2023-03-30 07:26:00,2.92
2023-03-30 07:26:30,2.85
2023-03-30 07:27:00,2.86
2023-03-30 07:27:30,2.88
2023-03-30 07:28:00,2.66
2023-03-30 07:28:30,2.96
2023-03-30 07:29:00,2.63
2023-03-30 07:29:30,2.90
2023-03-30 07:30:00,2.93
2023-03-30 07:30:30,2.94
2023-03-30 07:31:00,2.84
2023-03-30 07:31:30,2.89

