"Time","receive - by-stack","transmit - by-stack"
2023-05-25 22:27:00,9911,-16440
2023-05-25 22:27:30,3263920,-3921484
2023-05-25 22:28:00,7788354,-9691122
2023-05-25 22:28:30,9606922,-11074144
2023-05-25 22:29:00,12636391,-15419826
2023-05-25 22:29:30,11783127,-14576933
2023-05-25 22:30:00,12099503,-14809698
2023-05-25 22:30:30,11142918,-13193437
2023-05-25 22:31:00,10825023,-13282438
2023-05-25 22:31:30,10327359,-12802187
2023-05-25 22:32:00,8041780,-10083149
2023-05-25 22:32:30,5107478,-5276910
2023-05-25 22:33:00,7019799,-8251413
2023-05-25 22:33:30,5986730,-8159952
2023-05-25 22:34:00,9358248,-10939475
2023-05-25 22:34:30,9931496,-12573713
2023-05-25 22:35:00,4647298,-6014575
2023-05-25 22:35:30,281943,-289702
2023-05-25 22:36:00,9117983,-11211318
2023-05-25 22:36:30,4413210,-6027390
2023-05-25 22:37:00,294124,-304796

