"Time","all-in-one"
2023-05-28 17:23:30,0.0365
2023-05-28 17:24:00,0.0397
2023-05-28 17:24:30,1.22
2023-05-28 17:25:00,2.76
2023-05-28 17:25:30,2.80
2023-05-28 17:26:00,2.30
2023-05-28 17:26:30,3.03
2023-05-28 17:27:00,3.06
2023-05-28 17:27:30,3.09
2023-05-28 17:28:00,2.89
2023-05-28 17:28:30,2.39
2023-05-28 17:29:00,3.19
2023-05-28 17:29:30,3.09
2023-05-28 17:30:00,3.17
2023-05-28 17:30:30,3.10
2023-05-28 17:31:00,3.15
2023-05-28 17:31:30,3.16
2023-05-28 17:32:00,3.18
2023-05-28 17:32:30,2.44
2023-05-28 17:33:00,3.24
2023-05-28 17:33:30,3.19

