"Time","receive - all-in-one","transmit - all-in-one"
2023-05-28 17:23:30,13441,-21368
2023-05-28 17:24:00,15540,-26625
2023-05-28 17:24:30,2949295,-4212777
2023-05-28 17:25:00,9927335,-12209366
2023-05-28 17:25:30,10365762,-13464695
2023-05-28 17:26:00,11511205,-14643312
2023-05-28 17:26:30,11696554,-14466931
2023-05-28 17:27:00,13095191,-16636470
2023-05-28 17:27:30,10765941,-14274123
2023-05-28 17:28:00,11722944,-14409513
2023-05-28 17:28:30,12200760,-15526171
2023-05-28 17:29:00,11756538,-15278171
2023-05-28 17:29:30,13444389,-17081656
2023-05-28 17:30:00,12394440,-16003691
2023-05-28 17:30:30,13003749,-16474036
2023-05-28 17:31:00,10527208,-13185615
2023-05-28 17:31:30,13370398,-16964175
2023-05-28 17:32:00,12531747,-14221044
2023-05-28 17:32:30,13034913,-16590634
2023-05-28 17:33:00,11411690,-14914051
2023-05-28 17:33:30,12393912,-15934002

