"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-29 16:37:00,11533,-22211
2023-05-29 16:37:30,78065,-183005
2023-05-29 16:38:00,4084463,-5137995
2023-05-29 16:38:30,7876080,-9787015
2023-05-29 16:39:00,10058548,-12275264
2023-05-29 16:39:30,10956165,-13054368
2023-05-29 16:40:00,10557331,-13121242
2023-05-29 16:40:30,11155015,-13692360
2023-05-29 16:41:00,10419348,-12783964
2023-05-29 16:41:30,8559485,-10877427
2023-05-29 16:42:00,10410691,-12780141
2023-05-29 16:42:30,9062278,-10378946
2023-05-29 16:43:00,3727383,-4321896
2023-05-29 16:43:30,5357943,-6295517
2023-05-29 16:44:00,4184302,-4694932
2023-05-29 16:44:30,7082584,-8973447
2023-05-29 16:45:00,8633689,-11652891
2023-05-29 16:45:30,4478266,-5147121
2023-05-29 16:46:00,760599,-752002
2023-05-29 16:46:30,7765236,-10019356
2023-05-29 16:47:00,9542667,-12169130

