"Time","receive - by-stack","transmit - by-stack"
2023-05-29 15:20:30,11196,-20339
2023-05-29 15:21:00,457636,-474858
2023-05-29 15:21:30,3912696,-5363916
2023-05-29 15:22:00,8462273,-9881511
2023-05-29 15:22:30,10087151,-12208488
2023-05-29 15:23:00,9735329,-12040138
2023-05-29 15:23:30,12325055,-14987268
2023-05-29 15:24:00,11570630,-14022378
2023-05-29 15:24:30,8720958,-11107077
2023-05-29 15:25:00,11207812,-13662078
2023-05-29 15:25:30,9619258,-12013669
2023-05-29 15:26:00,10773072,-13125025
2023-05-29 15:26:30,10073519,-12204283
2023-05-29 15:27:00,7547903,-9609954
2023-05-29 15:27:30,9582346,-11247255
2023-05-29 15:28:00,7473057,-9331957
2023-05-29 15:28:30,9047079,-10897485
2023-05-29 15:29:00,9220523,-11151209
2023-05-29 15:29:30,9217230,-11279478
2023-05-29 15:30:00,7789856,-9820144
2023-05-29 15:30:30,8746889,-10125858

