"Time","by-dependencies"
2023-05-25 22:38:00,0.0420
2023-05-25 22:38:30,0.279
2023-05-25 22:39:00,2.79
2023-05-25 22:39:30,3.53
2023-05-25 22:40:00,3.40
2023-05-25 22:40:30,3.23
2023-05-25 22:41:00,3.60
2023-05-25 22:41:30,3.52
2023-05-25 22:42:00,3.62
2023-05-25 22:42:30,3.45
2023-05-25 22:43:00,3.32
2023-05-25 22:43:30,2.77
2023-05-25 22:44:00,1.04
2023-05-25 22:44:30,1.42
2023-05-25 22:45:00,2.72
2023-05-25 22:45:30,1.35
2023-05-25 22:46:00,0.336
2023-05-25 22:46:30,0.0972
2023-05-25 22:47:00,0.0444
2023-05-25 22:47:30,0.0432
2023-05-25 22:48:00,0.0675

