"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-25 22:38:00,12580,-23420
2023-05-25 22:38:30,312260,-372628
2023-05-25 22:39:00,5573962,-6905725
2023-05-25 22:39:30,9464750,-11553742
2023-05-25 22:40:00,10753185,-12762145
2023-05-25 22:40:30,11562089,-13778493
2023-05-25 22:41:00,10761062,-13446676
2023-05-25 22:41:30,11320227,-13511516
2023-05-25 22:42:00,8444236,-10179194
2023-05-25 22:42:30,10050652,-12470516
2023-05-25 22:43:00,11396635,-13955536
2023-05-25 22:43:30,6267403,-7408926
2023-05-25 22:44:00,2186382,-2172156
2023-05-25 22:44:30,6787661,-7800633
2023-05-25 22:45:00,10862398,-14297946
2023-05-25 22:45:30,4782714,-6376425
2023-05-25 22:46:00,1625973,-2098959
2023-05-25 22:46:30,428343,-435986
2023-05-25 22:47:00,12024,-23945
2023-05-25 22:47:30,338616,-438327
2023-05-25 22:48:00,15646,-24289

