"workload","scenario","Min","First.Quartile","Median","Third.Quartile","Maximum"
"300","benchmark",5.19654369354248,12.7478904724121,16.6437153816223,17.9082880020142,19.4656982421875
"300","all-in-one",7.17780113220215,12.0632295608521,14.5956053733826,15.5153112411499,16.6269073486328
"300","by-stack",8.70734977722168,14.1063823699951,16.4765377044678,17.8867082595825,19.6901416778564
"300","by-dependencies",6.108962059021,12.808479309082,16.6889982223511,17.9284248352051,19.0775556564331
"2400","benchmark",6.21654415130615,10.3228874206543,11.8535571098328,13.069109916687,16.7893028259277
"2400","all-in-one",4.81081867218018,9.64388656616211,11.3520231246948,12.97705078125,16.6915664672852
"2400","by-stack",7.34630680084229,10.7625494003296,12.6036782264709,14.2275648117065,17.402214050293
"2400","by-dependencies",7.8530912399292,10.7098407745361,11.9514493942261,13.2048034667969,16.8503894805908
"4500","benchmark",0.0203399658203125,1.15122509002686,7.41029644012451,11.2057647705078,14.7406053543091
"4500","all-in-one",4.34174633026123,8.2053050994873,9.99349451065063,11.2264213562012,14.6672477722168
"4500","by-stack",0.0155487060546875,3.27334880828857,10.1075549125671,12.218243598938,15.5246114730835
"4500","by-dependencies",0.0195112228393555,0.444355964660645,7.90363216400146,11.9776735305786,15.6868886947632
