"Time","receive - all-in-one","transmit - all-in-one"
2023-05-29 13:51:30,10678,-17197
2023-05-29 13:52:00,520121,-619608
2023-05-29 13:52:30,4359286,-5696020
2023-05-29 13:53:00,7603543,-9961773
2023-05-29 13:53:30,11191172,-14269161
2023-05-29 13:54:00,10679920,-13851042
2023-05-29 13:54:30,9820794,-11806929
2023-05-29 13:55:00,11984576,-15293802
2023-05-29 13:55:30,12416667,-16035315
2023-05-29 13:56:00,13371005,-16987927
2023-05-29 13:56:30,13429333,-17069953
2023-05-29 13:57:00,13708604,-17434576
2023-05-29 13:57:30,13525933,-16646130
2023-05-29 13:58:00,11624257,-15315401
2023-05-29 13:58:30,12382147,-16036847
2023-05-29 13:59:00,13191269,-15839135
2023-05-29 13:59:30,11711323,-15395099
2023-05-29 14:00:00,12295804,-15908766
2023-05-29 14:00:30,13561500,-17203292
2023-05-29 14:01:00,13667722,-17352093
2023-05-29 14:01:30,13675822,-17366074

