"Time","all-in-one"
2023-05-29 13:51:30,0.0334
2023-05-29 13:52:00,1.11
2023-05-29 13:52:30,3.17
2023-05-29 13:53:00,3.49
2023-05-29 13:53:30,3.34
2023-05-29 13:54:00,3.26
2023-05-29 13:54:30,3.47
2023-05-29 13:55:00,3.40
2023-05-29 13:55:30,2.70
2023-05-29 13:56:00,3.11
2023-05-29 13:56:30,3.12
2023-05-29 13:57:00,3.15
2023-05-29 13:57:30,3.14
2023-05-29 13:58:00,3.13
2023-05-29 13:58:30,3.16
2023-05-29 13:59:00,3.04
2023-05-29 13:59:30,3.17
2023-05-29 14:00:00,2.85
2023-05-29 14:00:30,3.13
2023-05-29 14:01:00,3.16
2023-05-29 14:01:30,3.14

