"Time","receive - all-in-one","transmit - all-in-one"
2024-02-27 05:48:00,3102343,-3962139
2024-02-27 05:48:30,8085824,-10314077
2024-02-27 05:49:00,5599108,-6954110
2024-02-27 05:49:30,9357412,-11710970
2024-02-27 05:50:00,11253752,-14346485
2024-02-27 05:50:30,13416632,-16824843
2024-02-27 05:51:00,15616183,-19273876
2024-02-27 05:51:30,15163695,-19043456
2024-02-27 05:52:00,14890546,-18855936
2024-02-27 05:52:30,15415313,-19042386
2024-02-27 05:53:00,13523191,-17200036
2024-02-27 05:53:30,14428133,-17978776
2024-02-27 05:54:00,14826381,-18463678
2024-02-27 05:54:30,14792621,-18420028
2024-02-27 05:55:00,14440239,-17641877
2024-02-27 05:55:30,14770853,-18430107
2024-02-27 05:56:00,14618338,-17980626
2024-02-27 05:56:30,13123432,-16738382
2024-02-27 05:57:00,14722752,-18403583
2024-02-27 05:57:30,14896202,-18575727
2024-02-27 05:58:00,8267634,-10381374
