"Time","by-stack"
2023-05-25 20:25:00,0.0448
2023-05-25 20:25:30,0.0569
2023-05-25 20:26:00,2.03
2023-05-25 20:26:30,3.03
2023-05-25 20:27:00,3.62
2023-05-25 20:27:30,3.63
2023-05-25 20:28:00,3.56
2023-05-25 20:28:30,3.25
2023-05-25 20:29:00,3.35
2023-05-25 20:29:30,3.33
2023-05-25 20:30:00,3.53
2023-05-25 20:30:30,3.43
2023-05-25 20:31:00,3.43
2023-05-25 20:31:30,3.28
2023-05-25 20:32:00,3.60
2023-05-25 20:32:30,3.10
2023-05-25 20:33:00,3.62
2023-05-25 20:33:30,3.43
2023-05-25 20:34:00,3.59
2023-05-25 20:34:30,3.45
2023-05-25 20:35:00,3.38

