"Time","receive - by-stack","transmit - by-stack"
2023-05-28 18:56:00,11469,-20042
2023-05-28 18:56:30,1733306,-2189182
2023-05-28 18:57:00,6249234,-8138014
2023-05-28 18:57:30,11156149,-13530852
2023-05-28 18:58:00,13784856,-16706831
2023-05-28 18:58:30,15047825,-18247544
2023-05-28 18:59:00,13255634,-15251343
2023-05-28 18:59:30,14677553,-17715956
2023-05-28 19:00:00,13513547,-16767277
2023-05-28 19:00:30,13889915,-17103957
2023-05-28 19:01:00,13361772,-16216681
2023-05-28 19:01:30,11919231,-14723481
2023-05-28 19:02:00,12162525,-14038123
2023-05-28 19:02:30,10676174,-13204116
2023-05-28 19:03:00,12172090,-14384813
2023-05-28 19:03:30,10222710,-12784041
2023-05-28 19:04:00,12315361,-14903464
2023-05-28 19:04:30,12346670,-14918683
2023-05-28 19:05:00,8799206,-11285351
2023-05-28 19:05:30,10882259,-13461467
2023-05-28 19:06:00,11958834,-14540780

