sep=,
"Time","receive - all-in-one","transmit - all-in-one"
2023-03-30 07:11:00,9285,-16434
2023-03-30 07:11:30,1312427,-1489811
2023-03-30 07:12:00,4123950,-5230561
2023-03-30 07:12:30,6468827,-8420946
2023-03-30 07:13:00,8353663,-10801583
2023-03-30 07:13:30,10425603,-13198199
2023-03-30 07:14:00,9423595,-11431484
2023-03-30 07:14:30,10152633,-12940715
2023-03-30 07:15:00,11258497,-14309439
2023-03-30 07:15:30,10815695,-13063017
2023-03-30 07:16:00,8770353,-11779978
2023-03-30 07:16:30,10283284,-13371819
2023-03-30 07:17:00,11442494,-14523844
2023-03-30 07:17:30,10427150,-13516790
2023-03-30 07:18:00,11721840,-14900262
2023-03-30 07:18:30,11405984,-14459516
2023-03-30 07:19:00,10510532,-13069348
2023-03-30 07:19:30,11476871,-14592934
2023-03-30 07:20:00,11621514,-14772669
2023-03-30 07:20:30,11654726,-14798221
2023-03-30 07:21:00,11351193,-14462135

