"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-26 09:05:30,10611,-19955
2023-05-26 09:06:00,17934,-39883
2023-05-26 09:06:30,733664,-1152638
2023-05-26 09:07:00,6027824,-7418941
2023-05-26 09:07:30,8629821,-10487581
2023-05-26 09:08:00,10083555,-12402648
2023-05-26 09:08:30,12320968,-14503726
2023-05-26 09:09:00,13383463,-16188184
2023-05-26 09:09:30,13284139,-16106770
2023-05-26 09:10:00,14458738,-17704051
2023-05-26 09:10:30,15390550,-18531561
2023-05-26 09:11:00,15275985,-17957161
2023-05-26 09:11:30,14207456,-17434631
2023-05-26 09:12:00,15569305,-18159410
2023-05-26 09:12:30,12313285,-15509853
2023-05-26 09:13:00,13949809,-17103297
2023-05-26 09:13:30,14882553,-18027733
2023-05-26 09:14:00,14714920,-18078772
2023-05-26 09:14:30,15496391,-18799316
2023-05-26 09:15:00,14319135,-17567945
2023-05-26 09:15:30,14787759,-17855759

