"Time","receive - all-in-one","transmit - all-in-one"
2024-02-27 07:42:30,777537,-1018593
2024-02-27 07:43:00,5480025,-7006022
2024-02-27 07:43:30,9154041,-11865644
2024-02-27 07:44:00,12305847,-16119405
2024-02-27 07:44:30,11787185,-14357738
2024-02-27 07:45:00,2195538,-2635363
2024-02-27 07:45:30,7807182,-9805053
2024-02-27 07:46:00,9330287,-11786407
2024-02-27 07:46:30,9674178,-12098400
2024-02-27 07:47:00,9793139,-12637199
2024-02-27 07:47:30,12398184,-15582465
2024-02-27 07:48:00,12019504,-15335324
2024-02-27 07:48:30,12604176,-15782299
2024-02-27 07:49:00,13011160,-16329186
2024-02-27 07:49:30,12319045,-15646529
2024-02-27 07:50:00,13304372,-16664963
2024-02-27 07:50:30,12302854,-15481124
2024-02-27 07:51:00,12470333,-15291676
2024-02-27 07:51:30,12594868,-15807198
2024-02-27 07:52:00,12491842,-15881530
2024-02-27 07:52:30,10286193,-12739223
