"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-27 11:35:00,10841,-21531
2023-05-27 11:35:30,52797,-60288
2023-05-27 11:36:00,2822594,-3517722
2023-05-27 11:36:30,6706936,-8241682
2023-05-27 11:37:00,8925378,-11039577
2023-05-27 11:37:30,11637419,-14332796
2023-05-27 11:38:00,13740371,-16632979
2023-05-27 11:38:30,12964334,-15669105
2023-05-27 11:39:00,14136819,-17209041
2023-05-27 11:39:30,15678197,-18942083
2023-05-27 11:40:00,15566822,-17453416
2023-05-27 11:40:30,16307142,-19727510
2023-05-27 11:41:00,16540822,-20003961
2023-05-27 11:41:30,16497759,-19934475
2023-05-27 11:42:00,16169381,-19500997
2023-05-27 11:42:30,15433425,-18124266
2023-05-27 11:43:00,16448070,-19954600
2023-05-27 11:43:30,16037027,-19424594
2023-05-27 11:44:00,14832545,-18168705
2023-05-27 11:44:30,15825690,-19099697
2023-05-27 11:45:00,15477451,-18700882

