"Time","receive - all-in-one","transmit - all-in-one"
2024-01-23 04:42:30,746491,-1053478
2024-01-23 04:43:00,6396438,-7988101
2024-01-23 04:43:30,7290402,-8964185
2024-01-23 04:44:00,8285470,-10195846
2024-01-23 04:44:30,12004877,-14779408
2024-01-23 04:45:00,10742361,-13271821
2024-01-23 04:45:30,14803684,-18489994
2024-01-23 04:46:00,16098025,-20162531
2024-01-23 04:46:30,15907108,-19952007
2024-01-23 04:47:00,16118267,-19916482
2024-01-23 04:47:30,14515797,-18265078
2024-01-23 04:48:00,13238365,-16715471
2024-01-23 04:48:30,15016466,-18938425
2024-01-23 04:49:00,15256011,-19195178
2024-01-23 04:49:30,15742475,-19184073
2024-01-23 04:50:00,15018241,-18775058
2024-01-23 04:50:30,14323082,-18077520
2024-01-23 04:51:00,14086024,-17353848
2024-01-23 04:51:30,15349386,-19336318
2024-01-23 04:52:00,14213034,-17686158
2024-01-23 04:52:30,13499717,-16481427
