"Time","all-in-one"
2024-01-23 04:42:30,2292162560
2024-01-23 04:43:00,2517303296
2024-01-23 04:43:30,3765284864
2024-01-23 04:44:00,3952115712
2024-01-23 04:44:30,4184772608
2024-01-23 04:45:00,4240388096
2024-01-23 04:45:30,4354387968
2024-01-23 04:46:00,4454494208
2024-01-23 04:46:30,4482453504
2024-01-23 04:47:00,4575043584
2024-01-23 04:47:30,4592087040
2024-01-23 04:48:00,4624035840
2024-01-23 04:48:30,4644687872
2024-01-23 04:49:00,4643340288
2024-01-23 04:49:30,4674940928
2024-01-23 04:50:00,4645625856
2024-01-23 04:50:30,4637327360
2024-01-23 04:51:00,4640702464
2024-01-23 04:51:30,4654444544
2024-01-23 04:52:00,4646674432
2024-01-23 04:52:30,4621180928
