sep=,
"Time","receive - by-dependencies","transmit - by-dependencies"
2023-04-03 12:32:30,13722,-22528
2023-04-03 12:33:00,342723,-390530
2023-04-03 12:33:30,4590657,-5688217
2023-04-03 12:34:00,7791586,-9646533
2023-04-03 12:34:30,10325031,-12694659
2023-04-03 12:35:00,12537341,-15267063
2023-04-03 12:35:30,12581181,-15250386
2023-04-03 12:36:00,13145003,-16052156
2023-04-03 12:36:30,14421726,-16823494
2023-04-03 12:37:00,15196001,-18385898
2023-04-03 12:37:30,15011136,-18099706
2023-04-03 12:38:00,15829688,-19096110
2023-04-03 12:38:30,15247251,-18499165
2023-04-03 12:39:00,15846340,-19168308
2023-04-03 12:39:30,13825787,-17144613
2023-04-03 12:40:00,15416704,-17599638
2023-04-03 12:40:30,15051970,-18174414
2023-04-03 12:41:00,15242339,-18559378
2023-04-03 12:41:30,13167237,-16393742
2023-04-03 12:42:00,15549593,-18778711
2023-04-03 12:42:30,15933527,-19293159

