"Time","receive - all-in-one","transmit - all-in-one"
2024-02-27 00:03:30,334116,-348189
2024-02-27 00:04:00,4951391,-6313136
2024-02-27 00:04:30,7751007,-9448393
2024-02-27 00:05:00,6247018,-7560917
2024-02-27 00:05:30,10409327,-12722264
2024-02-27 00:06:00,10760638,-13632642
2024-02-27 00:06:30,13623892,-17177584
2024-02-27 00:07:00,15027281,-18578190
2024-02-27 00:07:30,15044465,-18990871
2024-02-27 00:08:00,15821744,-19864435
2024-02-27 00:08:30,14600200,-18320256
2024-02-27 00:09:00,14939674,-18218431
2024-02-27 00:09:30,14007929,-17505208
2024-02-27 00:10:00,12729536,-16017154
2024-02-27 00:10:30,13933059,-17381793
2024-02-27 00:11:00,13970535,-17419329
2024-02-27 00:11:30,13108933,-16077474
2024-02-27 00:12:00,12246208,-15650524
2024-02-27 00:12:30,13828118,-17245663
2024-02-27 00:13:00,13723041,-17089974
2024-02-27 00:13:30,12057981,-15212729
