"Time","all-in-one"
2023-05-27 13:20:30,2006704128
2023-05-27 13:21:00,2108477440
2023-05-27 13:21:30,2414997504
2023-05-27 13:22:00,2476883968
2023-05-27 13:22:30,2554814464
2023-05-27 13:23:00,2573848576
2023-05-27 13:23:30,2667343872
2023-05-27 13:24:00,2688237568
2023-05-27 13:24:30,2706841600
2023-05-27 13:25:00,2746527744
2023-05-27 13:25:30,2786107392
2023-05-27 13:26:00,3001679872
2023-05-27 13:26:30,3053441024
2023-05-27 13:27:00,3031777280
2023-05-27 13:27:30,3052228608
2023-05-27 13:28:00,3059011584
2023-05-27 13:28:30,3065135104
2023-05-27 13:29:00,3070087168
2023-05-27 13:29:30,3083259904
2023-05-27 13:30:00,3079917568
2023-05-27 13:30:30,3074875392

