"Time","receive - all-in-one","transmit - all-in-one"
2023-05-27 13:20:30,9371,-16044
2023-05-27 13:21:00,124586,-185288
2023-05-27 13:21:30,3968932,-5044509
2023-05-27 13:22:00,7065226,-8748978
2023-05-27 13:22:30,10358640,-12997885
2023-05-27 13:23:00,10800600,-14017615
2023-05-27 13:23:30,10212495,-13083725
2023-05-27 13:24:00,10823225,-13712448
2023-05-27 13:24:30,11696627,-15051744
2023-05-27 13:25:00,12413400,-15129317
2023-05-27 13:25:30,12522296,-15919009
2023-05-27 13:26:00,12285751,-15698245
2023-05-27 13:26:30,10515063,-13411621
2023-05-27 13:27:00,10118023,-12779094
2023-05-27 13:27:30,10220506,-12950452
2023-05-27 13:28:00,10041212,-12750831
2023-05-27 13:28:30,9448266,-11346981
2023-05-27 13:29:00,9430445,-11644815
2023-05-27 13:29:30,8651372,-11204450
2023-05-27 13:30:00,9313998,-11791159
2023-05-27 13:30:30,8038594,-10538909

