"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-27 03:17:30,21142,-45187
2024-02-27 03:18:00,4605475,-5994090
2024-02-27 03:18:30,12936531,-15971257
2024-02-27 03:19:00,16005448,-19293569
2024-02-27 03:19:30,16774945,-20498934
2024-02-27 03:20:00,16605017,-19478391
2024-02-27 03:20:30,15375725,-18259852
2024-02-27 03:21:00,13891067,-16401329
2024-02-27 03:21:30,14827007,-18063486
2024-02-27 03:22:00,16067119,-19695728
2024-02-27 03:22:30,15603710,-19050245
2024-02-27 03:23:00,16190185,-19612763
2024-02-27 03:23:30,14443718,-17372635
2024-02-27 03:24:00,10484597,-12600916
2024-02-27 03:24:30,11914981,-13839876
2024-02-27 03:25:00,12701678,-15078646
2024-02-27 03:25:30,12466754,-14634362
2024-02-27 03:26:00,10866258,-12097762
2024-02-27 03:26:30,11507416,-13756112
2024-02-27 03:27:00,11360142,-14218695
2024-02-27 03:27:30,10472538,-12102936
