"Time","by-dependencies"
2024-02-27 03:17:30,0.0610
2024-02-27 03:18:00,1.56
2024-02-27 03:18:30,4.54
2024-02-27 03:19:00,5.92
2024-02-27 03:19:30,5.70
2024-02-27 03:20:00,5.68
2024-02-27 03:20:30,5.78
2024-02-27 03:21:00,6.83
2024-02-27 03:21:30,6.80
2024-02-27 03:22:00,7.30
2024-02-27 03:22:30,6.44
2024-02-27 03:23:00,5.88
2024-02-27 03:23:30,6.00
2024-02-27 03:24:00,4.58
2024-02-27 03:24:30,5.26
2024-02-27 03:25:00,4.74
2024-02-27 03:25:30,3.89
2024-02-27 03:26:00,4.91
2024-02-27 03:26:30,5.26
2024-02-27 03:27:00,3.98
2024-02-27 03:27:30,3.43
