"Time","receive - by-dependencies","transmit - by-dependencies"
2024-01-23 09:52:00,1224565,-1313882
2024-01-23 09:52:30,9978551,-12566368
2024-01-23 09:53:00,13331117,-16059309
2024-01-23 09:53:30,11060965,-13123628
2024-01-23 09:54:00,17000495,-19914827
2024-01-23 09:54:30,19669466,-23550742
2024-01-23 09:55:00,16026917,-19267553
2024-01-23 09:55:30,12667319,-14834324
2024-01-23 09:56:00,15362539,-18437109
2024-01-23 09:56:30,12640872,-15486788
2024-01-23 09:57:00,11836926,-14423135
2024-01-23 09:57:30,12032042,-14529943
2024-01-23 09:58:00,11078719,-13533930
2024-01-23 09:58:30,12691615,-15251552
2024-01-23 09:59:00,9646942,-11785617
2024-01-23 09:59:30,10956761,-13259455
2024-01-23 10:00:00,11185147,-13530196
2024-01-23 10:00:30,10506015,-12910337
2024-01-23 10:01:00,10389113,-12605756
2024-01-23 10:01:30,10639958,-12401165
2024-01-23 10:02:00,7170662,-7685433
